season,round,race_date,circuit_id,driver_id,constructor_id,grid,power_unit,reg_reset,driver_prior_starts,driver_prior_dnf_rate,constructor_prev_season_dnf_rate,circuit_hist_dnf_rate,dnf,dnf_category,label_unsure,disqualified,status,position_text
2000,3,2000-04-09,imola,coulthard,mclaren,3,Mercedes,False,2,0.5,,,False,,False,False,Finished,3
2000,3,2000-04-09,imola,barrichello,ferrari,4,Ferrari,False,2,0.5,,,False,,False,False,Finished,4
2000,3,2000-04-09,imola,villeneuve,bar,9,Honda,False,2,0.5,,,False,,False,False,+1 Lap,5
2000,3,2000-04-09,imola,salo,sauber,12,Ferrari,False,2,0.5,,,False,,False,False,+1 Lap,6
2000,3,2000-04-09,imola,irvine,jaguar,7,Cosworth,False,2,1.0,,,False,,False,False,+1 Lap,7
2000,3,2000-04-09,imola,diniz,sauber,10,Ferrari,False,2,1.0,,,False,,False,False,+1 Lap,8
2000,3,2000-04-09,imola,wurz,benetton,11,Supertec,False,2,0.5,,,False,,False,False,+1 Lap,9
2000,3,2000-04-09,imola,herbert,jaguar,17,Cosworth,False,2,1.0,,,False,,False,False,+1 Lap,10
2000,3,2000-04-09,imola,fisichella,benetton,19,Supertec,False,2,0.0,,,False,,False,False,+1 Lap,11
2000,3,2000-04-09,imola,zonta,bar,14,Honda,False,2,0.0,,,False,,False,False,+1 Lap,12
2000,3,2000-04-09,imola,mazzacane,minardi,20,Ford,False,2,0.5,,,False,,False,False,+2 Laps,13
2000,3,2000-04-09,imola,verstappen,arrows,16,Supertec,False,2,0.5,,,False,,False,False,+3 Laps,14
2000,3,2000-04-09,imola,trulli,jordan,8,Mugen-Honda,False,2,0.5,,,True,mechanical,False,False,Gearbox,15
2000,3,2000-04-09,imola,rosa,arrows,13,Supertec,False,2,0.5,,,True,accident,False,False,Spun off,R
2000,3,2000-04-09,imola,ralf_schumacher,williams,5,BMW,False,2,0.0,,,True,mechanical,False,False,Fuel system,R
2000,3,2000-04-09,imola,alesi,prost,15,Peugeot,False,2,1.0,,,True,mechanical,False,False,Hydraulics,R
2000,3,2000-04-09,imola,heidfeld,prost,22,Peugeot,False,2,0.5,,,True,mechanical,False,False,Hydraulics,R
2000,3,2000-04-09,imola,button,williams,18,BMW,False,2,0.5,,,True,mechanical,False,False,Engine,R
2000,3,2000-04-09,imola,gene,minardi,21,Ford,False,2,0.5,,,True,accident,False,False,Spun off,R
2000,3,2000-04-09,imola,frentzen,jordan,6,Mugen-Honda,False,2,0.5,,,True,mechanical,False,False,Gearbox,R
2000,4,2000-04-23,silverstone,coulthard,mclaren,4,Mercedes,False,3,0.3333333333333333,,,False,,False,False,Finished,1
2000,4,2000-04-23,silverstone,hakkinen,mclaren,3,Mercedes,False,3,0.6666666666666666,,,False,,False,False,Finished,2
2000,4,2000-04-23,silverstone,michael_schumacher,ferrari,5,Ferrari,False,3,0.0,,,False,,False,False,Finished,3
2000,4,2000-04-23,silverstone,ralf_schumacher,williams,7,BMW,False,3,0.3333333333333333,,,False,,False,False,Finished,4
2000,4,2000-04-23,silverstone,button,williams,6,BMW,False,3,0.6666666666666666,,,False,,False,False,Finished,5
2000,4,2000-04-23,silverstone,trulli,jordan,11,Mugen-Honda,False,3,0.6666666666666666,,,False,,False,False,Finished,6
2000,4,2000-04-23,silverstone,fisichella,benetton,12,Supertec,False,3,0.0,,,False,,False,False,+1 Lap,7
2000,4,2000-04-23,silverstone,salo,sauber,18,Ferrari,False,3,0.3333333333333333,,,False,,False,False,+1 Lap,8
2000,4,2000-04-23,silverstone,wurz,benetton,20,Supertec,False,3,0.3333333333333333,,,False,,False,False,+1 Lap,9
2000,4,2000-04-23,silverstone,alesi,prost,15,Peugeot,False,3,1.0,,,False,,False,False,+1 Lap,10
2000,4,2000-04-23,silverstone,diniz,sauber,13,Ferrari,False,3,0.6666666666666666,,,False,,False,False,+1 Lap,11
2000,4,2000-04-23,silverstone,herbert,jaguar,14,Cosworth,False,3,0.6666666666666666,,,False,,False,False,+1 Lap,12
2000,4,2000-04-23,silverstone,irvine,jaguar,9,Cosworth,False,3,0.6666666666666666,,,False,,False,False,+1 Lap,13
2000,4,2000-04-23,silverstone,gene,minardi,21,Ford,False,3,0.6666666666666666,,,False,,False,False,+1 Lap,14
2000,4,2000-04-23,silverstone,mazzacane,minardi,22,Ford,False,3,0.3333333333333333,,,False,,False,False,+1 Lap,15
2000,4,2000-04-23,silverstone,villeneuve,bar,10,Honda,False,3,0.3333333333333333,,,False,,False,False,+4 Laps,16
2000,4,2000-04-23,silverstone,frentzen,jordan,2,Mugen-Honda,False,3,0.6666666666666666,,,False,,False,False,+6 Laps,17
2000,4,2000-04-23,silverstone,heidfeld,prost,17,Peugeot,False,3,0.6666666666666666,,,True,mechanical,False,False,Engine,R
2000,4,2000-04-23,silverstone,zonta,bar,16,Honda,False,3,0.0,,,True,accident,False,False,Spun off,R
2000,4,2000-04-23,silverstone,barrichello,ferrari,1,Ferrari,False,3,0.3333333333333333,,,True,mechanical,False,False,Hydraulics,R
2000,4,2000-04-23,silverstone,rosa,arrows,19,Supertec,False,3,0.6666666666666666,,,True,mechanical,False,False,Electrical,R
2000,4,2000-04-23,silverstone,verstappen,arrows,8,Supertec,False,3,0.3333333333333333,,,True,mechanical,False,False,Electrical,R
2000,5,2000-05-07,catalunya,hakkinen,mclaren,2,Mercedes,False,4,0.5,,,False,,False,False,Finished,1
2000,5,2000-05-07,catalunya,coulthard,mclaren,4,Mercedes,False,4,0.25,,,False,,False,False,Finished,2
2000,5,2000-05-07,catalunya,barrichello,ferrari,3,Ferrari,False,4,0.5,,,False,,False,False,Finished,3
2000,5,2000-05-07,catalunya,ralf_schumacher,williams,5,BMW,False,4,0.25,,,False,,False,False,Finished,4
2000,5,2000-05-07,catalunya,michael_schumacher,ferrari,1,Ferrari,False,4,0.0,,,False,,False,False,Finished,5
2000,5,2000-05-07,catalunya,frentzen,jordan,8,Mugen-Honda,False,4,0.5,,,False,,False,False,Finished,6
2000,5,2000-05-07,catalunya,salo,sauber,12,Ferrari,False,4,0.25,,,False,,False,False,+1 Lap,7
2000,5,2000-05-07,catalunya,zonta,bar,16,Honda,False,4,0.25,,,False,,False,False,+1 Lap,8
2000,5,2000-05-07,catalunya,fisichella,benetton,13,Supertec,False,4,0.0,,,False,,False,False,+1 Lap,9
2000,5,2000-05-07,catalunya,wurz,benetton,18,Supertec,False,4,0.25,,,False,,False,False,+1 Lap,10
2000,5,2000-05-07,catalunya,irvine,jaguar,9,Cosworth,False,4,0.5,,,False,,False,False,+1 Lap,11
2000,5,2000-05-07,catalunya,trulli,jordan,7,Mugen-Honda,False,4,0.5,,,False,,False,False,+1 Lap,12
2000,5,2000-05-07,catalunya,herbert,jaguar,14,Cosworth,False,4,0.5,,,False,,False,False,+1 Lap,13
2000,5,2000-05-07,catalunya,gene,minardi,20,Ford,False,4,0.5,,,False,,False,False,+2 Laps,14
2000,5,2000-05-07,catalunya,mazzacane,minardi,21,Ford,False,4,0.25,,,False,,False,False,+2 Laps,15
2000,5,2000-05-07,catalunya,heidfeld,prost,19,Peugeot,False,4,0.75,,,False,,False,False,+3 Laps,16
2000,5,2000-05-07,catalunya,button,williams,10,BMW,False,4,0.5,,,True,mechanical,False,False,Engine,17
2000,5,2000-05-07,catalunya,verstappen,arrows,11,Supertec,False,4,0.5,,,True,mechanical,False,False,Gearbox,R
2000,5,2000-05-07,catalunya,villeneuve,bar,6,Honda,False,4,0.25,,,True,mechanical,False,False,Hydraulics,R
2000,5,2000-05-07,catalunya,alesi,prost,17,Peugeot,False,4,0.75,,,True,accident,False,False,Collision,R
2000,5,2000-05-07,catalunya,rosa,arrows,22,Supertec,False,4,0.75,,,True,accident,False,False,Collision,R
2000,5,2000-05-07,catalunya,diniz,sauber,15,Ferrari,False,4,0.5,,,True,accident,False,False,Spun off,R
