season,round,race_name,race_date,circuit_id,circuit_name,driver_id,driver_code,driver_name,constructor_id,constructor_name,grid,position,position_text,laps,status
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,herbert,,Johnny Herbert,jaguar,Jaguar,17,12,R,51,Gearbox
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,gene,,Marc Gené,minardi,Minardi,18,13,R,31,Engine
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,hakkinen,,Mika Häkkinen,mclaren,McLaren,1,14,R,30,Oil pressure
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,4,15,R,27,Hydraulics
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,irvine,,Eddie Irvine,jaguar,Jaguar,6,16,R,20,Spun off
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,villeneuve,VIL,Jacques Villeneuve,bar,BAR,10,17,R,16,Gearbox
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,alesi,,Jean Alesi,prost,Prost,15,18,R,11,Electrical
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,heidfeld,HEI,Nick Heidfeld,prost,Prost,19,19,R,9,Engine
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,wurz,WUR,Alexander Wurz,benetton,Benetton,13,20,R,6,Engine
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,diniz,,Pedro Diniz,sauber,Sauber,0,21,W,0,Safety concerns
2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,salo,,Mika Salo,sauber,Sauber,0,22,W,0,Safety concerns
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,2,1,1,62,Finished
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,hakkinen,,Mika Häkkinen,mclaren,McLaren,1,2,2,62,Finished
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,coulthard,COU,David Coulthard,mclaren,McLaren,3,3,3,62,Finished
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,4,4,4,62,Finished
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,villeneuve,VIL,Jacques Villeneuve,bar,BAR,9,5,5,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,salo,,Mika Salo,sauber,Sauber,12,6,6,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,irvine,,Eddie Irvine,jaguar,Jaguar,7,7,7,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,diniz,,Pedro Diniz,sauber,Sauber,10,8,8,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,wurz,WUR,Alexander Wurz,benetton,Benetton,11,9,9,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,herbert,,Johnny Herbert,jaguar,Jaguar,17,10,10,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,19,11,11,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,zonta,ZON,Ricardo Zonta,bar,BAR,14,12,12,61,+1 Lap
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,mazzacane,,Gastón Mazzacane,minardi,Minardi,20,13,13,60,+2 Laps
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,verstappen,,Jos Verstappen,arrows,Arrows,16,14,14,59,+3 Laps
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,trulli,TRU,Jarno Trulli,jordan,Jordan,8,15,15,58,Gearbox
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,rosa,DLR,Pedro de la Rosa,arrows,Arrows,13,16,R,49,Spun off
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,5,17,R,45,Fuel system
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,alesi,,Jean Alesi,prost,Prost,15,18,R,25,Hydraulics
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,heidfeld,HEI,Nick Heidfeld,prost,Prost,22,19,R,22,Hydraulics
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,button,BUT,Jenson Button,williams,Williams,18,20,R,5,Engine
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,gene,,Marc Gené,minardi,Minardi,21,21,R,5,Spun off
2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,6,22,R,4,Gearbox
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,coulthard,COU,David Coulthard,mclaren,McLaren,4,1,1,60,Finished
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,hakkinen,,Mika Häkkinen,mclaren,McLaren,3,2,2,60,Finished
2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,5,3,3,60,Finished
